상품명,Cupping Note 향미,Cupping Note 산미,Cupping Note 단맛,Cupping Note 바디감,Cupping Note 밸런스,Roasting Point,origin,text,로스터리,평점,리뷰 수
베트남로부스타블루드래곤워시드g1,7.0,6,7,8,7.0,5.5,베트남,로부스타 특유의 곡물의 구수한 향미와 은은한 단 맛이 느껴지는 커피입니다. 수세식(워시드 가공방식)으로 가공되어 보다 균일하고 깔끔한 에프터 테이스트(끝 맛)를 선사합니다.,콩스콩스,4.345098039215686,255.0
마일드블렌드,7.0,7,7,7,7.0,6.0,"브라질, 베트남",묵직한 바디감과 부드러운 산미가 잘 조화되어 맛의 균형을 잘 살린 원두로써 가장 인기있는 상품입니다.,콩스콩스,4.330383480825959,339.0
모카블렌드,6.0,6,6,7,6.0,6.0,"에티오피아, 브라질, 베트남",고소하면서도 부드러운 단 맛과 쌉싸름함이 어우러진 커피를 적절하게 블렌딩한 커피입니다.,콩스콩스,4.785714285714286,14.0
하우스블렌드,6.0,4,4,6,6.0,6.0,"브라질, 콜롬비아, 베트남",각 원두의 맛과 함미를 잘 배합하여 균형 잡힌 원두로 콩스콩스 블렌딩만의 노하우가 담긴 커피입니다.,콩스콩스,4.0,6.0
헤이즐넛향커피,8.0,6,6,7,6.0,5.5,베트남,베트남 원두를 베이스로 헤이즐넛 향을 가미하여 헤이즐넛의 고소함과 풍부한 향이를 느낄 수 있는 커피입니다.,콩스콩스,4.25,136.0
리치블렌드,6.0,6,4,6,6.0,6.0,"브라질, 과테말라, 베트남",웃직한 바디감과 쌀싸름이 잘 조화된 커피로 균형잡힌 블렌딩 커피입니다.,콩스콩스,,
아이스블렌드,6.0,6,6,7,6.0,6.0,"콜롬비아, 브라질, 베트남",더운 여름 커피의 진한 향미와 맛을 시원하게 즐기실 수 있는 아이스 블렌딩 커피입니다.,콩스콩스,5.0,1.0
에티오피아시다모g4,6.0,7,6,6,6.0,5.5,에티오피아,"묵직한 바디감과 약간의 와인 맛 속에 베리류의 산미를 가지고 있으며, 풍부한 향미를 느낄 수 있는 커피입니다.",콩스콩스,4.538461538461538,13.0
콜롬비아슈프리모후일라,7.0,6,6,6,6.0,5.5,콜롬비아,견과류의 고소함과 크림 같이 부드러운 목넘김을 지닌 커피로써 부담 없이 누구나 즐길 수 있는 커피입니다.,콩스콩스,3.8461538461538463,13.0
브라질세하도ny-217-18,7.0,4,7,8,7.0,5.5,브라질,고소한 아몬드를 볶은 것 같은 향미와 연하고 부드러워 처음 커피를 접하시는 분들도 무난히 드실 수 있는 브라질 커피의 특징을 잘 표현해주는 커피입니다.,콩스콩스,4.5,66.0
에스프레소블렌드,6.0,4,4,6,6.0,6.0,"콜롬비아, 베트남, 베트남",진한 에스프레소에 맞는 적절한 조화를 이룬 커피를 원하시는 분들께 맞도록 블렌딩한 커피입니다.,콩스콩스,4.71875,32.0
바닐라향커피,8.0,6,6,7,6.0,5.5,베트남,아로아향처럼 기분을 좋게 만들며 입 안에 감도는 달콤한 맛과 부드러우면서도 고소하 한미를 느낌 수 있는 커피입니다.,콩스콩스,3.35,20.0
아일리쉬향커피,8.0,6,6,7,6.0,5.5,베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.,콩스콩스,4.066666666666666,15.0
허니블렌드,6.0,6,5,6,6.0,6.0,"베트남, 베트남","풍부한 향미와 뛰어난 바디감, 쌉싸름한 맛이 어우러진 블렌딩 커피입니다.",콩스콩스,,
스타블렌드,6.0,6,5,4,5.0,5.5,"에티오피아, 브라질, 베트남",고소하면서 쌉쌀한 맛과 은은한 산미까지 더해져 무난한 맛으로 대중적으로 인기있는 커피입니다.,콩스콩스,4.5,6.0
브라질블렌드,7.0,6,6,6,6.0,5.5,"브라질, 온두라스, 베트남",고소한 아몬드 향미와 은은한 단맛이 느껴지는 커피입니다,콩스콩스,5.0,1.0
에티오피아블렌드,7.0,8,7,7,7.0,5.5,"에티오피아, 베트남, 베트남",적당한 산미와 고소하고 쌉싸름한 맛을 함께 즐기실수 있는 커피입니다,콩스콩스,,
콜롬비아블렌드,7.0,7,7,7,8.0,5.5,"콜롬비아, 브라질, 베트남",구수한 향미와 연하고 부드러운 맛을 느낄수 있습니다,콩스콩스,3.875,8.0
시그니처블렌드,7.0,6,7,6,6.0,6.0,"브라질, 콜롬비아, 온두라스","고소한 아몬드와 다크 초콜릿의 단 맛, 부드러우면서 약간에 산미까지 더해져 부담없이 즐길 수 있는 커피입니다.",콩스콩스,,
로얄블렌드,6.0,6,6,7,6.0,5.5,"브라질, 베트남","고소한 향미와 맛, 쌉싸름한 맛이 어우러져 누구나 접할 수 있는 블렌딩 커피입니다.",콩스콩스,,
베트남아라비카g1,7.0,5,5,7,6.0,5.5,베트남,"부드럽고 깔끔한 끝 맛과 고소하고 쌉싸름한 맛이 어우러져, 누구나 편하게 마실 수 있는 커피입니다.",콩스콩스,4.5,8.0
에티오피아예가체프g4,7.0,6,6,6,6.0,5.5,에티오피아,향긋하고 새콤달콤한 각종 베리류의 향미가 풍부한 커피입니다. 차를 마시는 듯한 가벼운 바디와 깔끔한 후미(뒷 맛)를 갖고 있으며 은은한 단 맛을 느낄 수 있습니다.,콩스콩스,4.397849462365591,186.0
블루마운틴블렌드,7.0,6,5,6,6.0,6.0,"콜롬비아, 탄자니아, 베트남","부드러운 산미와 단맛, 쓴 맛, 감칠맛으로 조화가 뛰어나며 완성도가 높은 블렌딩 커피입니다.",콩스콩스,4.404255319148936,47.0
에티오피아예가체프g2,8.0,8,6,7,7.0,5.5,에티오피아,"레몬그라스의 향긋하고 시트러스한 향미와 잘 익은 자두의 단 맛이 좋은 커피 입니다. 또한, 밀크 초콜릿의 깊은 단 맛과 더불어 깔끔한 후미가 인상적입니다.",콩스콩스,4.095238095238095,21.0
파푸아뉴기니a,7.0,7,6,7,7.0,5.5,파푸아 뉴기니,"부드럽고 깔끔한 풍미와 섬세한 향미, 감칠맛이 좋은 고급스러운 커피입니다.",콩스콩스,4.75,4.0
엘살바도르팬시shg워시드,7.0,7,7,8,7.0,5.5,엘살바도르,마일드하면서도 입 안에서 도는 기분 좋은 커피 향미와 달콤한 목넘김이 좋은 커피 입니다.,콩스콩스,,
멕시코알투라shg워시드,7.0,7,7,8,7.0,5.5,멕시코,"가벼운 바디감과 비교적 산미가 낮으며, 부드러운 밀크 초콜릿의 단 맛이 잘 어우러진 커피입니다.",콩스콩스,5.0,2.0
니카라과shg,7.0,7,7,8,7.0,5.5,니카라과,"복잡하면서도 다양한 향미를 지니며, 우수한 바디감, 깔끔한 에프터 테이스트(뒷 맛)를 느낄 수 있습니다.",콩스콩스,3.0,1.0
모닝블렌드,6.0,6,5,5,5.0,5.5,"브라질, 온두라스, 콜롬비아",100% 아라비카 원두로 블렌딩하여 깊은 향과 고소하면서도 약간의 단맛과 깊고 부드러운 맛이 특징이라 모닝 커피로 제격입니다.,콩스콩스,,
스페셜블렌드,7.0,7,8,8,7.0,6.0,"콜롬비아, 멕시코, 브라질",오렌지를 연상케 하는 적절한 산미와 단 맛이 잘 어우러져 풍부한 커피 향미를 잘 느낄 수 있는 블렌딩 커피입니다.,콩스콩스,4.5,2.0
온두라스shg,7.0,7,7,7,7.0,5.5,온두라스,믹스 너트류의 고소함과 다크 코촐릿의 단 맛으로 잘 조화된 커피입니다.,콩스콩스,4.0,1.0
과테말라shb,7.0,7,7,7,8.0,5.5,과테말라,월넛과 같은 견과류의 고소한 향미와 카라멜의 단 맛이 어우러진 커피입니다.,콩스콩스,4.666666666666667,15.0
바리스타블렌드,6.0,6,5,6,6.0,5.5,"브라질, 과테말라, 파푸아 뉴기니",고소함과 단맛의 조화로 아라비카 종의 원두 본연의 맛과 향을 느낄 수 있는 블렌딩 커피입니다.,콩스콩스,5.0,1.0
문블렌드,7.0,7,7,7,7.0,5.5,"콜롬비아, 브라질, 에티오피아, 과테말라",각 산지별 원두 고유의 맛과 향미를 살려 4가지 싱글 오리진 원두를 최상의 비율로 블렌딩한 커피입니다.,콩스콩스,4.7272727272727275,11.0
코스타리카shb,7.0,6,7,7,7.0,5.5,코스타리카,"레몬, 오렌지의 산미와 균형감이 있는 바디감으로 누구나 부담 없이 즐길 수 있는 커피입니다.",콩스콩스,4.666666666666667,3.0
탄자니아킬리만자로aa,7.0,8,7,7,7.0,5.5,탄자니아,입에 감기는 쌉쌀함과 견과류 향기과 두드러지는 커피로 커피 애호가 사이에서 큰 인기를 얻고 있습니다.,콩스콩스,4.5,4.0
인도네시아만델링g1,7.0,6,6,8,7.0,5.5,인도네시아,호두의 달콤 쌉싸름한 맛이 커피의 풍미를 높이고 묵직한 바디감을 더해주는 커피입니다.,콩스콩스,4.363636363636363,11.0
케냐aa,8.0,8,6,8,7.0,5.5,케냐,레몬을 연상케하는 산미와 너트류의 고소함을 더하여 풍부한 커피 향미를 느낄 수 있는 커피입니다.,콩스콩스,4.54054054054054,37.0
디카페인콜롬비아,8.0,8,7,6,8.0,5.5,콜롬비아,살구의 감칠맛과 에이드의 새콤달콤한 향미가 특징입니다. 카라멜의 단맛이 좋고 전체적인 밸런스가 잘 잡힌 커피.,콩스콩스,3.0,1.0
디카페인에티오피아짐마,8.0,8,8,6,7.0,5.5,에티오피아,"청포도의 가벼운 산미와 깨끗한 애프터가 특징이며, 무겁지 않은 바디감으로 부드러운 목넘김이 좋은 커피.",콩스콩스,,
디카페인과테말라,8.0,8,7,7,8.0,5.5,과테말라,레몬 계열의 밝은 향미와 아몬드의 고소함이 특징입니다. 깨끗한 향미와 당밀계열의 단맛이 있는 커피.,콩스콩스,,
디카페인브라질,7.0,7,8,7,8.0,5.5,브라질,감귤류의 신맛과 카라멜의 단맛이 특징입니다. 볶은 땅콩의 고소한 향미를 가진 커피.,콩스콩스,,
브라질 FC 세하도,6.0,2,8,8,7.0,5.5,브라질,중간 정도의 바디감과 구수한 맛의 적당한 쓴맛이 좋고 부드럽게 입안을 감싸는 너트향이 특징,라인코 원두커피,,
콜롬비아 수프리모 안티오키아,8.0,4,6,8,7.0,5.5,콜롬비아,쓴맛이 적고 맛과 향이 부드러우며 깊고 묵직한 바디감과 풍부한 향이 조화롭고 뒷맛이 깔끔한 것이 특징,라인코 원두커피,,
에디오피아 예가체프 G2,8.0,8,6,6,8.0,5.5,에티오피아,"초콜릿 같은 달콤함과 아름다운 꽃향, 과일향의 밸런스가 좋고 향긋한 신맛이 있는 고급진 맛",라인코 원두커피,,
케냐 AA,8.0,6,6,6,7.0,5.0,케냐,"고급& 세련된 신맛과 단맛의 조화, 묵직한 바디감과 부드럽고 향이 좋으며 모든 부분의 밸런스가 좋아 전체적인 조화가 훌륭한 커피",라인코 원두커피,,
인도네시아 아체가요 G1 만델링,6.0,2,6,8,7.0,6.0,인도네시아,"묵직하고 깊은 바디감과 풍부한 향, 산미는 적고 은은한 단맛을 느낄 수 있는 커피",라인코 원두커피,,
베트남 로브스타 G1,4.0,2,4,8,7.0,5.5,베트남,"브라질에 이은 세계 2위 커피생산국으로 보리차,팝콘과 비슷한 향미와 부드럽고 온화한 맛, 묵직한 바디감이 특징인 커피입니다.",라인코 원두커피,,
과테말라 SHB 안티구아,8.0,4,6,8,8.0,5.0,과테말라,부드럽고 목 넘김이 좋으며 고소하고 초콜릿 향과 스모키한 향이 나며 바디감이 높은 원두,라인코 원두커피,,
코스타리카 SHB 따라주,6.0,8,6,6,8.0,4.5,코스타리카,균형감이 좋고 깔끔한 뒷맛을 가지고 있는 클래식 커피 산미가 좋고 적당한 바디감을 갖고 있어 매력적인 향을 자랑하는 원두,라인코 원두커피,,
탄자니아 AA,6.0,8,6,6,6.0,4.5,탄자니아,향이 깊고 맛이 진하며 신맛과 단맛의 절묘한 조화 케냐에 뒤를 잇는 아프리카 커피의 2인자,라인코 원두커피,,
딥테이스트,8.0,4,8,8,8.0,5.5,"브라질, 콜롬비아, 에티오피아",풍부한 향과 강렬하고 깊은 바디감이 우수한 블렌드로 아메리카노 or 카페라떼까지 모두 잘 어울리는 원두 (우리 집이 카페로 변하는 신비한 마법),라인코 원두커피,,
블라섬,8.0,8,6,4,7.0,4.5,"케냐, 에티오피아, 콜롬비아","산뜻한 산미와 꽃내음, 기분 좋은 단맛 너머로 결코 가볍지 않은 바디감과 우아함이 묻어나는 맛",라인코 원두커피,,
베러베스트 하우스블랜드,7.0,6,7,6,,4.0,"에티오피아, 브라질, 케냐",베러베스트가 많은분들께 사랑받을 수 있게 해준 시그니처 원두. 피칸의 고소한맛에 청사과의 산뜻함이 은은하게 느껴집니다. 모카포트나 에스프레소에 추천하지만 핸드드립 더치등으로도 좋습니다.,베러베스트,,
베러베스트 블랜드 다크,9.0,4,8,9,,5.0,"콜롬비아, 케냐, 브라질",묵직하고 깊은 맛에  다크 초콜릿의 향이 느껴지는 블랜딩. 호불호 없이 누구나 좋아할 수 있는 커피를 위해 새롭게 선보이는 제품입니다. 산미가 적은 커피를 찾으시는 분들에게 추천합니다.,베러베스트,,
베러베스트 너티 블랜드,6.0,4,8,8,,4.5,"과테말라, 브라질",고소한 맛에 고소한 맛을 더한 원두! 적은 산미에 곡물류의 고소함과 견과류의 고소함을 함께 느낄 수 있습니다.,베러베스트,,
브라질 NY2 FC 17/18 세하도,7.0,2,6,7,,4.0,브라질,진하게 우려낸 현미차와 같은 고소한 맛과 풍부한 바디감이 특징입니다. 커피를 연하게 만들어서 고소한 맛으로 즐기는 분들에게 추천합니다.,베러베스트,,
예티오피아 예가체프 G2,7.0,8,6,5,,2.0,에티오피아,자두계열의 과일에서 느껴지는 단맛뒤에 부드러운 신맛과 꽃향이 납니다. 깔끔한 느낌과 깊은 꽃향으로 많은 여성분들께 사랑받는 원두입니다.,베러베스트,,
과테말라 SHB 안티구아,6.0,4,8,8,,4.0,과테말라,"볶은 아몬드의 고소함과 다크 초콜릿, 스모키한 향이 매력적입니다. 적은 산미에 강하고 묵직한 느낌의 커피를 좋아하는 분들에게 추천합니다.",베러베스트,,
콜롬비아 수프리모 후일라,8.0,6,6,8,,5.0,콜롬비아,우리가 흔히 기억하는 커피맛에 가장 가까운 원두입니다. 단맛과 쓴맛의 균형이 좋아서 부드러운 커피를 찾는 분들에게 추천합니다.,베러베스트,,
케냐 AA FAQ,9.0,4,7,9,,5.0,케냐,"산미를 줄이고 열대과일의 단맛, 다크초콜릿의 풍미, 묵직한 바디감이 느껴지게 볶았습니다. 진하고 다양한 향을 좋아하는 분들에게 추천합니다.",베러베스트,,
에티오피아 예가체프 코케허니 G1,9.0,8,7,5,,2.0,에티오피아,"블랙베리, 포도에서 느낄 수 있는 신맛과 다채로운 꽃향, 꿀의 풍미에 비유되는 부드러운 단맛과 바디감",베러베스트,,
과테말라 디카페인,6.0,4,8,8,,4.0,과테말라,단맛과 고소한맛이 조화롭고 바디감이 좋습니다. 과테말라 원두 특유의 스모키함이 살아있어서 매력적입니다.,베러베스트,,
콜롬비아 수프리모 디카페인,6.0,6,6,8,,5.0,콜롬비아,콜롬비아 커피의 부드러움과 구수한 맛이 그대로 살아있습니다. 익숙한 커피맛에 과하지 않은 뒷맛으로 가볍게 즐기기에 특히 좋습니다.,베러베스트,,
에티오피아 시다모 디카페인,8.0,6,6,4,,4.0,에티오피아,산뜻하고 화사하며 깔끔한 느낌의 커피입니다. 커피의 귀부인다운 에티오피아 시다모의 꽃향과 부드러운 산미가 있습니다.,베러베스트,,
베트남 로부스타 G1,6.0,2,6,6,,5.5,베트남,로부스타 품종의 대표 원산지인 베트남 로부스타는 밸런스가 고소하고 마일드하며 다크 초콜릿처럼 씁쓸한 것이 매력적입니다. 로부스타는 대표적으로 믹스커피의 주원료로도 사용되며 고소한 것이 특징인 만큼 여러 블랜드의 주원료로도 사용되고 있습니다.,커피창고,,
이든 블랜드,6.0,2,6,8,,5.5,,"착하고 어진' 이란 뜻을 가진 순우리말 이든. 신맛이 거의 없으며, 곡물에서 느껴지는 구수함 뒤에 훈연된 나무에서 느낄 수 있는 스모키함과 독특한 향미 커피가 가진 본연의 쓴맛이 특징인 가성비 좋은 커피입니다.",커피창고,,
다크 블랜드,6.0,2,4,8,,6.5,,다크 블랜드는 커피 본연의 쓴맛이 진하게 느껴지지만 불쾌한 쓴맛이 아니라 다크초콜릿에서 느껴지는 쌉싸름함과 풍미가 좋은 커피입니다. 캬라멜의 단맛과 땅콩처럼 고소하면서 버터처럼 바디감이 좋은 커피입니다.,커피창고,,
코소롱 블랜드,6.0,4,6,6,,5.5,,"코소롱은 '고소하다' 의 제주도 방언으로, 이름에 걸맞게 견과류, 비스킷의 고소한 맛, 향미가 특징이며 코코아의 은은한 풍미, 단맛이 큰 특징인 블랜드입니다.",커피창고,,
달보드레 블랜드,6.0,6,6,6,,5.5,,"블랜드 '달보드레'는 순수 우리말로써 ""달달하고 부드럽다"" 라는 뜻을 지니고 있습니다. 은은한 군고구마의 향미에 흑설탕의 달달하고 감칠맛 나는 행복감을 주는 블랜드 커피입니다.",커피창고,,
오롯이 블랜드,6.0,4,6,6,,6.0,,"우리 고유 표현 중 '오롯이'는 '모자람 없이 온전하게'라는 뜻입니다. 모자람도 치우침도 없이 '오롯이' 맛의 균형을 잡고 있는 웰 밸런스의 매력적인 블랜드입니다. 라떼와도 잘 어울리는 블랜드이며, 코끝에서 전해오는 모카, 바닐라 향과 균형 잡힌 플레이버와 중후한 바디감을 선사합니다.",커피창고,,
케냐 AA,6.0,6,6,6,,5.5,,케냐 AA는 자몽 같은 과일 산미와 당밀 특유의 향미와 단맛이 은은하게 입안 가득 퍼집니다. 캬라멜의 부드러운 풍미와 여운을 느낄 수 있는 좋은 커피입니다.,커피창고,,
케냐 피베리,6.0,6,6,6,,5.0,,"피베리는 전체 커피나무에서 10% 정도만 나오는 변종인데, 이 기형적인 원두를 총칭해 ‘피베리(Peaberry)’ 라고 합니다. 그 맛이 독특하고 강해서 피베리 원두는 정상적인 원두보다 특색이 강하고 비싸게 팔리기도 합니다. 케냐 피베리는 오렌지의 시트러스한 산미가 특징이며 버번 품종과 비슷한 아몬드, 피넛과 같은 견과류의 향미가 나며 케냐 원산지 답게 조청과 갈색설탕 처럼 달콤한 풍미와 여운으로 산미, 단맛, 쓴맛 밸런스가 좋은 커피 입니다.",커피창고,,
에티오피아 예가체프 G2,6.0,6,6,4,,4.5,,"에티오피아 예가체프는 ""커피의 귀부인"" 이라는 칭호로 에티오피아에서 유명한 커피입니다. 다른 커피 생산국들보다 과실향이 풍부하고, 레몬이나 감귤류의 시트러스 한 산미를 가지고 있으며, 은은한 자스민과 같은 꽃 향을 가지고 있습니다.",커피창고,,
에티오피아 시다모 G2,6.0,6,6,4,,5.0,,"에티오피아 시다모는 깊고 묵직한 향미와 산미를 갖고 있어 ""커피의 공작"" 으로도 불립니다. 시다모는 레몬의 산미와 코코아의 풍미로 부드러운 느낌의 연출과 은은하게 퍼지는 레드와인류의 단맛, 씁쓸함을 함께 느끼 실 수 있습니다. 또, 상대적으로 낮은 카페인을 갖고 있어 저녁에 마시기에도 부담이 없는 커피입니다.",커피창고,,
브라질 세하도 파인컵 NY2,4.0,4,6,6,,5.0,,"전 세계 커피 생산량 1위 브라질. 고소한 너트 향기, 캬라멜의 단맛, 산뜻한 산미가 적당한 균형을 이루며 그 산미 역시도 자연스럽고 가벼운 것이 특징입니다. 적절한 바디감에 로스팅 강도에 따라 다양한 맛이 표현되는데 마일드 커피의 대명사 콜롬비아 수프리모에 버금가는 커피입니다. 배전 포인트에 따라서 신맛, 단맛, 쓴맛의 밸런스가 있는 싱글 커피의 우수함을 보여주기도 하고 때로는 개성이 넘치지 않아 다른 원두와의 조화가 좋아서 블렌딩 베이스로 충분한 역할을 해주는 원두입니다.",커피창고,,
브라질 옐로우 버번,6.0,4,6,6,,5.0,,"옐로우라는 이름에 걸맞게 커피체리의 색이 노란색을 가진 것이 옐로우 버번입니다. 맛은 밝고 깔끔한 산미가 특징이며, 견과류의 향미가 입과 코에 매력적으로 다가오며 잘 익은 농후한 감귤류의 산미가 입안 가득 매꿔지는 게 특징입니다.",커피창고,,
콜롬비아 수프리모,6.0,4,6,6,,5.5,,"최고의 콜롬비아 커피는 생두 스크린 사이즈가 크고, 부드러운 맛과 향으로 유명해 '아침을 시작하는 커피'로 적합한 마일드 커피의 대명사이기도 합니다. 지속적으로 올라오는 단맛과 체리와 부드러운 초콜릿의 향, 과일류의 산미가 밸런스를 이루고 있습니다. 적당한 바디감과 과하지 않는 쓴맛이 커피의 풍미를 유지시켜 주며 커피가 식었을 때에도 맛의 변화가 적으며 여운이 긴 것이 특징으로 콜롬비아 수프리모 특유의 향을 오래 느낄 수 있습니다.",커피창고,,
과테말라 안티구아,6.0,4,6,6,,6.0,,"과테말라 커피는 커피 원두 종류 중에서도 중후한 바디감을 느낄 수 있고, 다크초코의 쌈싸름함과 진한 스모키 향과 뛰어난 풍미, 블랙커런트의 감칠맛과 부드러운 단맛이 특징입니다. 또, 중후한 무게의 바디감으로 고급 스트레이트 커피나 블렌드 커피 모두에 사용되는 커피입니다.",커피창고,,
코스타리카 따라주 SHB,6.0,6,6,4,,5.0,,"입안을 가득 메꾸는 듯한 사탕수수의 단맛과 고소한 견과류의 향미가 특징입니다. 열대과일의 산미를 느낄 수 있고, 깔끔한 애프터와 가볍지 않은 바디감을 가지고 있어 스트레이트 커피로도 훌륭한 커피입니다.",커피창고,,
인도네시아 만델링 G1,6.0,4,6,8,,6.0,,"인도네시아 만델링은 유럽에서 인기가 좋습니다. 중남미 커피에 비해 부드러우면서 바디감이 강한 농도를 가지고 있으며, 수마트라 섬의 특별한 토양으로 인하여 거친 흙 내음과 스파이시한 향이 있으며 고소하고 달콤한 맛이 특징입니다. 개성 있는 커피 맛을 원하는 사람에게 맞는 커피로 뒷맛의 여운이 오래도록 남는답니다. 묵직한 농도와 초콜릿 같은 풍미로 '세계에서 가장 풍부한 농도의 아라비카'라는 평을 받기도 했습니다.",커피창고,,
인도 마이소로 너깃 엑스트라 볼드,6.0,4,6,6,,5.5,,"인도 마이소르는 달콤하고 부드러운 오렌지류의 산미와 밀크초콜릿의 바디감, 견과류 특유의 향과 고소함으로 인도에서 생산되는 최상급 커피로써 싱글 오리진과 블랜드로 마셨을 때 각 매력을 느낄 수 있는 커피입니다.",커피창고,,
에티오피아 코케허니 G1,8.0,8,6,4,,4.0,,"꿀과 같은 단맛과 잘 익은 과일의 산미' 당도 높은 체리, 꿀과 같은 단맛이 좋으며 딸기, 블루베리에서 느낄 수 있는 베리류의 산미가 특징. 목 넘김이 부드럽고 마신 후에는 바닐라와 같은 달콤한 맛이 입안에 오래 남습니다. 에티오피아 고산지대와 기후에서 오는 과일의 산미와 허니 프로세싱의 가공 방식의 장점인 단맛이 잘 어우러져 커피가 가진 단맛, 신맛, 쓴맛의 밸런스가 좋습니다. 한마디로 표현하자면 과육이 많은 달콤한 과일의 맛과 잘 익은 딸기를 먹는 것 같은 느낌!",커피창고,,
파나마 에스메랄다 팔미라 에스테이트,6.0,6,6,6,,5.0,,"균형미가 좋으면서 달콤하고 부드러운 컵 테이스트를 가지고 있습니다. 바닐라, 견과류의 향미가 주로 느껴지는 한편 밀크 초콜릿, 캬라멜과 같은 애프터 테이스트가 오래 남습니다. 과실류의 은은한 산미와 바디감이 제법 두텁고 무거운 편이라 전체적으로 목 넘김이 아주 부드럽고 달콤합니다.",커피창고,,
디카페인 콜롬비아,4.0,4,6,6,,6.0,,"디카페인 콜롬비아는 일반 콜롬비아 커피 못지않게 다른 매력을 느낄 수 있습니다. 흔히 잘 알려져 있는 콜롬비아 수프리모 커피는 마일드하고 남녀노소 가리지 않는 중후한 매력을 갖고 있다면, 디카페인 콜롬비아는 오렌지와 같은 풍부한 과육의 단맛이 연출되며, 캬라멜 팝콘과 같은 달콤하고 고소한 풍미, 그리고 구운 아몬드 특유의 향이 특징입니다.",커피창고,,
